 Rk,Player,Pos,Age,Tm,PER▼,3PAr,Player-additional
34,Pascal Siakam,PF,28,TOR,20.3,.219,siakapa01
35,Bam Adebayo,C,25,MIA,20.1,.011,adebaba01
36,Myles Turner,C,26,IND,20.0,.340,turnemy01
37,Jarrett Allen,C,24,CLE,19.9,.016,allenja01
38,Deandre Ayton,C,24,PHO,19.9,.027,aytonde01
39,Bradley Beal,SG,29,WAS,19.7,.249,bealbr01
40,Daniel Gafford,C,24,WAS,19.7,.000,gaffoda01
41,Alperen Şengün,C,20,HOU,19.7,.071,sengual01
42,Paul George,SF,32,LAC,19.6,.424,georgpa01
43,Mason Plumlee,C,32,TOT,19.6,.000,plumlma01
44,Aaron Gordon,PF,27,DEN,19.5,.227,gordoaa01
45,Onyeka Okongwu,C,22,ATL,19.4,.026,okongon01
46,Jonas Valančiūnas,C,30,NOP,19.3,.134,valanjo01
47,Jrue Holiday,PG,32,MIL,19.2,.402,holidjr01
48,Brandon Ingram,SF,25,NOP,19.2,.196,ingrabr01
49,Desmond Bane,SG,24,MEM,19.1,.433,banede01
50,Jaylen Brown,SF,26,BOS,19.1,.352,brownja02
51,Nikola Vučević,C,32,CHI,19.1,.302,vucevni01
52,Zach LaVine,SG,27,CHI,19.0,.392,lavinza01
53,Rudy Gobert,C,30,MIN,18.9,.005,goberru01
54,Mitchell Robinson,C,24,NYK,18.9,.000,robinmi01
55,Darius Garland,PG,23,CLE,18.8,.365,garlada01
56,Brook Lopez,C,34,MIL,18.4,.405,lopezbr01
57,Malcolm Brogdon,PG,30,BOS,18.2,.406,brogdma01
58,Chris Boucher,PF,30,TOR,18.0,.357,bouchch01
59,Jamal Murray,PG,25,DEN,18.0,.415,murraja01
60,Evan Mobley,PF,21,CLE,17.9,.108,mobleev01
61,Kevon Looney,C,26,GSW,17.8,.003,looneke01
62,Bobby Portis,PF,27,MIL,17.8,.320,portibo01
63,Chris Paul,PG,37,PHO,17.7,.391,paulch01
64,Bojan Bogdanović,PF,33,DET,17.4,.400,bogdabo02
65,Anthony Edwards,SG,21,MIN,17.4,.375,edwaran01
66,Wendell Carter Jr.,C,23,ORL,17.3,.367,cartewe01
67,Jalen Duren,C,19,DET,17.3,.005,durenja01
68,Josh Giddey,PF,20,OKC,17.1,.209,giddejo01
69,Norman Powell,SG,29,LAC,17.1,.404,powelno01
70,Tyrese Maxey,SG,22,PHI,17.0,.404,maxeyty01
71,Dejounte Murray,SG,26,ATL,17.0,.293,murrade01
