Rk,Player,PTS,Player-additional
,,,-9999
378,Cedi Osman,8.7,osmande01
379,Kelly Oubre Jr.,20.3,oubreke01
380,Chris Paul,13.9,paulch01
381,Cameron Payne,10.3,payneca01
382,Gary Payton II,4.6,paytoga02
382,Gary Payton II,4.1,paytoga02
382,Gary Payton II,5.7,paytoga02
383,Theo Pinson,2.4,pinsoth01
384,Scotty Pippen Jr.,2.3,pippesc02
385,Mason Plumlee,10.8,plumlma01
385,Mason Plumlee,12.2,plumlma01
385,Mason Plumlee,7.5,plumlma01
386,Jakob Poeltl,12.5,poeltja01
386,Jakob Poeltl,12.1,poeltja01
386,Jakob Poeltl,13.1,poeltja01
387,Aleksej Pokusevski,8.1,pokusal01
388,Jordan Poole,20.4,poolejo01
389,Kevin Porter Jr.,19.2,porteke02
390,Michael Porter Jr.,17.4,portemi01
391,Otto Porter Jr.,5.5,porteot01
392,Bobby Portis,14.1,portibo01
393,Kristaps Porziņģis,23.2,porzikr01
394,Micah Potter,3.4,pottemi01
395,Dwight Powell,6.7,poweldw01
396,Norman Powell,17.0,powelno01
397,Jason Preston,2.9,prestja01
398,Joshua Primo,7.0,primojo01
399,Taurean Prince,9.1,princta02
400,Payton Pritchard,5.6,pritcpa01
401,Trevelin Queen,3.0,queentr01
402,Neemias Queta,2.4,quetane01
403,Immanuel Quickley,14.9,quickim01
404,Lester Quinones,2.5,quinole01
405,Julius Randle,25.1,randlju01
406,Austin Reaves,13.0,reaveau01
407,Cam Reddish,9.7,reddica01
407,Cam Reddish,8.4,reddica01
407,Cam Reddish,11.0,reddica01
408,Davon Reed,2.1,reedda01
408,Davon Reed,2.3,reedda01
408,Davon Reed,1.0,reedda01
409,Paul Reed,4.2,reedpa01
410,Naz Reid,11.5,reidna01
411,Jared Rhoden,3.2,rhodeja01
412,Nick Richards,8.2,richani01
413,Josh Richardson,10.1,richajo01
413,Josh Richardson,11.5,richajo01
413,Josh Richardson,7.5,richajo01
414,Austin Rivers,4.9,riverau01
415,Duncan Robinson,6.4,robindu01
416,Mitchell Robinson,7.4,robinmi01
417,Orlando Robinson,3.7,robinor01
418,Jeremiah Robinson-Earl,6.8,robinje02
419,Isaiah Roby,4.1,robyis01
420,David Roddy,6.7,roddyda01
421,Ryan Rollins,1.9,rolliry01
422,Derrick Rose,5.6,rosede01
423,Terrence Ross,8.3,rosste01
423,Terrence Ross,8.0,rosste01
423,Terrence Ross,9.0,rosste01
424,Terry Rozier,21.1,roziete01
425,Ricky Rubio,5.2,rubiori01
426,D'Angelo Russell,17.8,russeda01
426,D'Angelo Russell,17.9,russeda01
426,D'Angelo Russell,17.4,russeda01
427,Matt Ryan,3.6,ryanma01
427,Matt Ryan,3.9,ryanma01
427,Matt Ryan,3.4,ryanma01
428,Domantas Sabonis,19.1,sabondo01
429,Luka Šamanić,9.9,samanlu01
430,Dario Šarić,6.4,saricda01
430,Dario Šarić,5.8,saricda01
430,Dario Šarić,7.4,saricda01
431,Olivier Sarr,4.0,sarrol01
432,Jordan Schakel,1.5,schakjo01
433,Admiral Schofield,4.2,schofad01
434,Dennis Schröder,12.6,schrode01
435,Jay Scrubb,6.5,scrubja01
436,Dereon Seabron,0.8,seabrde01
437,Alperen Şengün,14.8,sengual01
438,Collin Sexton,14.3,sextoco01
439,Landry Shamet,8.7,shamela01
440,Day'Ron Sharpe,4.7,sharpda01
441,Shaedon Sharpe,9.9,sharpsh01
442,Pascal Siakam,24.2,siakapa01
443,Chris Silva,2.0,silvach01
444,Ben Simmons,6.9,simmobe01
445,Kobi Simmons,1.0,simmoko01
446,Marko Simonovic,0.9,simonma01
447,Anfernee Simons,21.1,simonan01
448,Jericho Sims,3.4,simsje01
449,Marcus Smart,11.5,smartma01
450,Dennis Smith Jr.,8.8,smithde03
451,Dru Smith,2.9,smithdr01
451,Dru Smith,2.2,smithdr01
451,Dru Smith,3.3,smithdr01
452,Ish Smith,2.5,smithis01
453,Jabari Smith Jr.,12.8,smithja05
454,Jalen Smith,9.4,smithja04
455,Xavier Sneed,4.3,sneedxa01
456,Jeremy Sochan,11.0,sochaje01
457,Jaden Springer,2.6,sprinja01
458,Lamar Stevens,5.3,stevela01
459,Isaiah Stewart,11.3,stewais01
460,Max Strus,11.5,strusma01
461,Jalen Suggs,9.9,suggsja01
462,Edmond Sumner,7.1,sumneed01
463,Cole Swider,1.3,swideco01
464,Jae'Sean Tate,9.1,tateja01
465,Jayson Tatum,30.1,tatumja01
466,Terry Taylor,2.9,taylote01
466,Terry Taylor,2.7,taylote01
466,Terry Taylor,4.0,taylote01
467,Garrett Temple,2.0,templga01
468,Dalen Terry,2.2,terryda01
469,Daniel Theis,7.0,theisda01
470,Cam Thomas,10.6,thomaca02
471,Klay Thompson,21.9,thompkl01
472,JT Thor,3.8,thorjt01
473,Matisse Thybulle,4.1,thybuma01
473,Matisse Thybulle,2.7,thybuma01
473,Matisse Thybulle,7.4,thybuma01
474,Xavier Tillman Sr.,7.0,tillmxa01
475,Isaiah Todd,1.5,toddis01
476,Obi Toppin,7.4,toppiob01
477,Juan Toscano-Anderson,3.0,toscaju01
477,Juan Toscano-Anderson,2.7,toscaju01
477,Juan Toscano-Anderson,3.4,toscaju01
478,Karl-Anthony Towns,20.8,townska01
479,Gary Trent Jr.,17.4,trentga02
480,P.J. Tucker,3.5,tuckepj01
481,Myles Turner,18.0,turnemy01
482,Stanley Umude,2.0,umudest01
483,Jonas Valančiūnas,14.1,valanjo01
484,Jarred Vanderbilt,7.9,vandeja01
484,Jarred Vanderbilt,8.3,vandeja01
484,Jarred Vanderbilt,7.2,vandeja01
485,Fred VanVleet,19.3,vanvlfr01
486,Devin Vassell,18.5,vassede01
487,Gabe Vincent,9.4,vincega01
488,Noah Vonleh,1.1,vonleno01
489,Nikola Vučević,17.6,vucevni01
490,Dean Wade,4.7,wadede01
491,Franz Wagner,18.6,wagnefr01
492,Moritz Wagner,10.5,wagnemo01
493,Ish Wainright,4.2,wainris01
494,Jabari Walker,3.9,walkeja01
495,Kemba Walker,8.0,walkeke02
496,Lonnie Walker IV,11.7,walkelo01
497,John Wall,11.4,walljo01
498,T.J. Warren,7.5,warretj01
498,T.J. Warren,9.5,warretj01
498,T.J. Warren,4.2,warretj01
499,Duane Washington Jr.,7.9,washidu02
500,P.J. Washington,15.7,washipj01
501,TyTy Washington Jr.,4.7,washity02
502,Yuta Watanabe,5.6,watanyu01
503,Lindy Waters III,5.2,waterli01
504,Trendon Watford,7.4,watfotr01
505,Peyton Watson,3.3,watsope01
506,Blake Wesley,5.0,weslebl01
507,Russell Westbrook,15.9,westbru01
507,Russell Westbrook,15.9,westbru01
507,Russell Westbrook,15.8,westbru01
508,Coby White,9.7,whiteco01
509,Derrick White,12.4,whitede01
510,Jack White,1.2,whiteja03
511,Joe Wieskamp,1.0,wieskjo01
512,Aaron Wiggins,6.8,wiggiaa01
513,Andrew Wiggins,17.1,wiggian01
514,Lindell Wigginton,7.1,wiggili01
515,Alondes Williams,0.0,willial06
516,Donovan Williams,2.0,willido02
517,Grant Williams,8.1,willigr01
518,Jalen Williams,14.1,willija06
519,Jaylin Williams,5.9,willija07
520,Jeenathan Williams,10.6,willije02
521,Kenrich Williams,8.0,willike04
522,Mark Williams,9.0,willima07
523,Patrick Williams,10.2,willipa01
524,Robert Williams,8.0,williro04
525,Vince Williams Jr.,2.0,willivi01
526,Ziaire Williams,5.7,willizi02
527,Zion Williamson,26.0,willizi01
528,Dylan Windler,1.7,windldy01
529,Justise Winslow,6.8,winslju01
530,James Wiseman,10.0,wisemja01
530,James Wiseman,6.9,wisemja01
530,James Wiseman,12.7,wisemja01
531,Christian Wood,16.6,woodch01
532,Delon Wright,7.4,wrighde01
533,McKinley Wright IV,4.2,wrighmc01
534,Gabe York,8.0,yorkga01
535,Thaddeus Young,4.4,youngth01
536,Trae Young,26.2,youngtr01
537,Omer Yurtseven,4.4,yurtsom01
538,Cody Zeller,6.5,zelleco01
